# FAST-LIVO2 runtime diagnostics
# node=fast_livo2,package=fast_livo
# values are sampled approximately every diagnostics_interval_sec
wall_epoch_s,ros_time_s,processed_time_s,newest_sensor_time_s,lag_s,rss_kb,rss_hwm_kb,vmsize_kb,vmswap_kb,threads,mem_available_kb,swap_free_kb,lidar_buf,img_buf,imu_buf,prop_imu_buf,root_voxels,visual_voxels,visual_points,path_poses,pub_wait_points,pcd_wait_points,dropped_lidar,dropped_img,dropped_imu,root_pruned_total,root_hardcap_pruned_total,visual_pruned_voxels_total,visual_pruned_points_total,pos_x,pos_y,pos_z,vel_norm,lio_down_s,lio_icp_s,lio_map_s,lio_total_s,lio_avg_s,vio_retrieve_s,vio_ekf_s,vio_generate_s,vio_update_s,vio_ref_s,vio_total_s,vio_avg_s
1790148400.000000,1790148400.287148,-1.000000,-1.000000,0.000000,114300,114300,1043496,0,11,4632656,2231380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148401.000000,1790148401.286975,-1.000000,-1.000000,0.000000,114300,114300,1043496,0,11,4627064,2231380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148402.000000,1790148402.287161,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4730340,2231380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148403.000000,1790148403.287801,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4607712,2232148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148404.000000,1790148404.287533,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4607760,2232148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148405.000000,1790148405.287654,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4607328,2232404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148406.000000,1790148406.287762,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604172,2232404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148407.000000,1790148407.287773,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604304,2232404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148408.000000,1790148408.287969,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604212,2232660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148409.000000,1790148409.288469,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604116,2232660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148410.000000,1790148410.288430,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604100,2232660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148411.000000,1790148411.288301,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604088,2232660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148412.000000,1790148412.288276,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604136,2232660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148413.000000,1790148413.288377,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604152,2232660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790148414.000000,1790148414.288366,-1.000000,-1.000000,0.000000,114384,114528,1043664,0,11,4604104,2232660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
